"","Churn","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Churn_Prob","Log_Churn_Prob","Log_Churn_Prediction","QDA_Churn_Prob","QDA_Churn_Prediction","log_reg_cost","lda_cost","qda_cost"
"15","No",0.531590413943355,"Spain","Female",0.246376811594203,0.7,0,"2","1","1",0.329731839390662,0.126042486416883,0.126042486416883,"No",0.0704602493323421,"No",38.0790395197599,27.2136068034017,28.7543771885943
"16","No",0.490196078431373,"Germany","Male",0.391304347826087,0.3,0.570468312453076,"2","0","1",0.321609113670355,0.354448313187503,0.354448313187503,"Yes",0.451442901250732,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"17","Yes",0.570806100217865,"Germany","Male",0.579710144927536,0.1,0.528512911357755,"1","1","0",0.0254328788399292,0.554008145727763,0.554008145727763,"Yes",0.678397930451497,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"18","No",0.344226579520697,"Spain","Female",0.0869565217391304,0.9,0,"2","1","1",0.0719810241878099,0.0673543662153866,0.0673543662153866,"No",0.0281622446302736,"No",38.0790395197599,27.2136068034017,28.7543771885943
"19","No",0.427015250544662,"Spain","Male",0.391304347826087,0.6,0,"1","0","0",0.793441923703714,0.142121188638525,0.142121188638525,"No",0.0842843616277474,"No",38.0790395197599,27.2136068034017,28.7543771885943
"20","No",0.729847494553377,"France","Female",0.0869565217391304,0.6,0,"2","1","1",0.273588377690069,0.0636338701673212,0.0636338701673212,"No",0.0343534415579786,"No",38.0790395197599,27.2136068034017,28.7543771885943
"21","No",0.742919389978213,"France","Male",0.333333333333333,0.8,0,"2","1","1",0.854454550409564,0.0997940500961387,0.0997940500961387,"No",0.0789008624194417,"No",38.0790395197599,27.2136068034017,28.7543771885943
"22","No",0.533769063180828,"Spain","Female",0.202898550724638,0.8,0,"2","1","0",0.692785561021077,0.104493211922207,0.104493211922207,"No",0.0550814094116447,"No",38.0790395197599,27.2136068034017,28.7543771885943
"23","Yes",0.259259259259259,"Spain","Female",0.289855072463768,0.4,0,"1","1","0",0.59456653110372,0.166144353125374,0.166144353125374,"No",0.106388222838745,"No",38.0790395197599,27.2136068034017,28.7543771885943
"24","No",0.605664488017429,"France","Male",0.405797101449275,0.3,0,"2","0","1",0.0423848977577359,0.149051018906734,0.149051018906734,"No",0.131338219345036,"No",38.0790395197599,27.2136068034017,28.7543771885943
"25","No",0.991285403050109,"France","Female",0.289855072463768,0.5,0,"1","1","1",0.93811248974277,0.136228964015146,0.136228964015146,"No",0.118867840635629,"No",38.0790395197599,27.2136068034017,28.7543771885943
"26","No",0.405228758169935,"France","Male",0.101449275362319,0.3,0,"2","0","1",0.622543002856773,0.0464175334005678,0.0464175334005678,"No",0.0251632699046015,"No",38.0790395197599,27.2136068034017,28.7543771885943
"27","No",0.79520697167756,"Germany","Male",0.260869565217391,0.2,0.54530363304081,"1","1","1",0.850233047256013,0.223522506870611,0.223522506870611,"Yes",0.268873488217193,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"28","No",0.392156862745098,"France","Male",0.376811594202899,0.9,0,"2","0","0",0.192127198147423,0.125617219102177,0.125617219102177,"No",0.104551135378295,"No",38.0790395197599,27.2136068034017,28.7543771885943
"29","No",0.398692810457516,"Germany","Female",0.36231884057971,0.3,0.563373878214856,"1","1","1",0.500927088536955,0.458983884704964,0.458983884704964,"Yes",0.549847003204809,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"30","No",0.0435729847494553,"France","Male",0.159420289855072,0,0.237933935646939,"2","1","1",0.267383685141931,0.0797364786182169,0.0797364786182169,"No",0.0936113776217912,"No",38.0790395197599,27.2136068034017,28.7543771885943
"31","Yes",0.435729847494553,"Spain","Female",0.304347826086957,0.3,0,"3","1","0",0.702356075005163,0.171642831362764,0.171642831362764,"Yes",0.118727882125526,"No",38.0790395197599,27.2136068034017,28.7543771885943
"32","No",0.309368191721133,"France","Male",0.260869565217391,0.7,0.340025306689262,"1","0","1",0.783676491104901,0.104739798305374,0.104739798305374,"No",0.103509691811798,"No",38.0790395197599,27.2136068034017,28.7543771885943
"33","No",0.352941176470588,"Germany","Male",0.333333333333333,0.9,0.438873568148725,"2","0","0",0.409475254886842,0.261812631871845,0.261812631871845,"Yes",0.38695934507681,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"34","No",0.281045751633987,"Spain","Female",0.347826086956522,0.6,0,"2","1","1",0.172011277076961,0.196684998073559,0.196684998073559,"Yes",0.113163320583648,"No",38.0790395197599,27.2136068034017,28.7543771885943
"35","No",0.721132897603486,"Spain","Female",0.159420289855072,0.9,0,"2","1","1",0.710175271738451,0.0825926007088897,0.0825926007088897,"No",0.0494759235523754,"No",38.0790395197599,27.2136068034017,28.7543771885943
"36","Yes",0.183006535947712,"France","Female",0.391304347826087,0,0.535133766861278,"1","1","0",0.139070331216631,0.328544594495492,0.328544594495492,"Yes",0.380485001654496,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"37","No",0.215686274509804,"Spain","Male",0.188405797101449,0.3,0.578961083362572,"1","0","1",0.570330416554781,0.103223168249714,0.103223168249714,"No",0.0835616340924174,"No",38.0790395197599,27.2136068034017,28.7543771885943
"38","No",0.899782135076253,"Spain","Male",0.217391304347826,0.7,0.305098376795136,"1","0","1",0.492256360482426,0.076777593914989,0.076777593914989,"No",0.0709874098813733,"No",38.0790395197599,27.2136068034017,28.7543771885943
"39","No",1,"France","Male",0.260869565217391,0.7,0,"1","1","1",0.204026084491069,0.0716533406978131,0.0716533406978131,"No",0.0570109102728797,"No",38.0790395197599,27.2136068034017,28.7543771885943
"40","No",0.416122004357298,"Germany","Male",0.333333333333333,0.6,0.280390655823645,"2","0","1",0.890397332945296,0.24955523357475,0.24955523357475,"Yes",0.360001249701582,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"41","No",0.176470588235294,"Spain","Male",0.318840579710145,0.4,0,"1","1","0",0.350746696309498,0.11830509892382,0.11830509892382,"No",0.0834808705440475,"No",38.0790395197599,27.2136068034017,28.7543771885943
"42","Yes",0.161220043572985,"France","Female",0.478260869565217,0.8,0.488335004861934,"1","0","0",0.906516922366086,0.370589097752272,0.370589097752272,"Yes",0.424160511887441,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"43","No",0.359477124183007,"France","Female",0.623188405797101,0.2,0.467996189209731,"1","1","1",0.470756207217789,0.541293098801195,0.541293098801195,"Yes",0.606833168240155,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"44","Yes",0.965141612200436,"France","Female",0.449275362318841,0.2,0.523696932089041,"1","0","0",0.97186371298459,0.329198684249885,0.329198684249885,"Yes",0.318508359452785,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"45","No",0.586056644880174,"Spain","Female",0.623188405797101,0.5,0.621491817653933,"1","1","1",0.791709658272365,0.544152511845773,0.544152511845773,"Yes",0.389775290824069,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"46","No",0.838779956427015,"Germany","Female",0.202898550724638,0.4,0.436117827760267,"2","1","1",0.632589812327077,0.252489301877207,0.252489301877207,"Yes",0.336762392028098,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"47","Yes",0.954248366013072,"Germany","Female",0.130434782608696,0.9,0.446578409584545,"1","1","1",0.598540310599662,0.178008754946377,0.178008754946377,"Yes",0.322032284594498,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"48","Yes",0.535947712418301,"Germany","Female",0.304347826086957,0.9,0.549401551841228,"1","1","1",0.588112264721281,0.356796461131449,0.356796461131449,"Yes",0.47932472049656,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"49","No",0.34640522875817,"Germany","Male",0.289855072463768,0.2,0.412085161748342,"1","0","1",0.454376142921649,0.250338467729629,0.250338467729629,"Yes",0.352057190002503,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"50","No",0.838779956427015,"Germany","Female",0.27536231884058,0.2,0.413591111833494,"2","1","0",0.97053038565183,0.32256061975625,0.32256061975625,"Yes",0.420272018381572,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"51","No",0.668845315904139,"Germany","Male",0.376811594202899,1,0.4637873887362,"2","1","0",0.99033247675153,0.282748010621356,0.282748010621356,"Yes",0.44218439273189,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"52","No",0.422657952069717,"Germany","Male",0.260869565217391,0.5,0.582112721543635,"2","0","0",0.432106216143642,0.233813064253005,0.233813064253005,"Yes",0.298025839626588,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"53","No",0.864923747276688,"France","Female",0.217391304347826,0.5,0,"2","0","0",0.584888906890608,0.106056228392256,0.106056228392256,"No",0.0768021694602983,"No",38.0790395197599,27.2136068034017,28.7543771885943
"54","Yes",0.57516339869281,"Germany","Male",0.333333333333333,0.8,0.500450083139334,"1","0","0",0.820225131500058,0.263216075848693,0.263216075848693,"Yes",0.380478850867261,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"55","Yes",0.457516339869281,"Germany","Male",0.347826086956522,0.1,0.39257261783061,"1","1","0",0.200035003342819,0.296443005101719,0.296443005101719,"Yes",0.41388646815723,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"56","No",0.496732026143791,"France","Male",0.36231884057971,0.1,0.499054895156834,"1","1","1",0.567048703151151,0.180653102578779,0.180653102578779,"Yes",0.168441433293124,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"57","No",0.577342047930283,"France","Male",0.391304347826087,0.5,0.509626836936064,"1","1","0",0.43552154230729,0.185060265600002,0.185060265600002,"Yes",0.175440338971636,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"58","No",0.727668845315904,"Germany","Male",0.0144927536231884,0,0.302466232405356,"1","0","0",0.22803262711589,0.080571996297766,0.080571996297766,"No",0.0708668909977995,"No",38.0790395197599,27.2136068034017,28.7543771885943
"59","Yes",0.261437908496732,"Spain","Female",0.695652173913043,0.4,0,"1","1","0",0.00815842912998191,0.540439755967969,0.540439755967969,"Yes",0.401736146367711,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"60","No",0.485838779956427,"France","Male",0.478260869565217,0.4,0.16216113881138,"1","1","1",0.233840831799437,0.21393562593912,0.21393562593912,"Yes",0.231234265625926,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"61","No",0.764705882352941,"Germany","Male",0.246376811594203,0.5,0.54546848084814,"1","0","0",0.422530301643807,0.203621779277458,0.203621779277458,"Yes",0.268621789065068,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"62","No",0.644880174291939,"Germany","Female",0.130434782608696,0.9,0.607134474399546,"2","0","0",0.632476601515445,0.207873035271766,0.207873035271766,"Yes",0.282279368521836,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"63","No",0.357298474945534,"Spain","Male",0.217391304347826,0.1,0.2235357391521,"2","0","0",0.894018128731294,0.0928846171235932,0.0928846171235932,"No",0.0836110084440313,"No",38.0790395197599,27.2136068034017,28.7543771885943
"64","No",0.638344226579521,"Spain","Male",0.550724637681159,0.8,0.313701710523185,"1","1","1",0.496981361720044,0.27366352955155,0.27366352955155,"Yes",0.188055721411798,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"65","No",0.461873638344227,"Germany","Male",0.115942028985507,0.4,0.435102435415112,"1","1","1",0.464189780124002,0.128598658338302,0.128598658338302,"No",0.1499551239245,"No",38.0790395197599,27.2136068034017,28.7543771885943
"66","No",0.784313725490196,"Germany","Female",0.260869565217391,0.6,0.676894192379065,"2","1","1",0.138747150352859,0.333878387624505,0.333878387624505,"Yes",0.415612236426194,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"67","No",0.413943355119826,"Germany","Female",0.231884057971014,0.1,0.405076977668503,"1","1","0",0.552152380552343,0.308260356272925,0.308260356272925,"Yes",0.375199591798851,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"68","No",0.749455337690632,"Germany","Male",0.36231884057971,1,0.490956348053506,"2","1","1",0.983402414930626,0.269748524542181,0.269748524542181,"Yes",0.435139839906181,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"69","No",0.588235294117647,"Germany","Female",0.246376811594203,0.5,0.600744031172178,"2","0","1",0.568280620799286,0.323822201825831,0.323822201825831,"Yes",0.384793038620013,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"70","No",0.618736383442266,"France","Female",0.0434782608695652,0.8,0.39208453121345,"1","1","0",0.0909657872326807,0.0680287522180976,0.0680287522180976,"No",0.0498147564324952,"No",38.0790395197599,27.2136068034017,28.7543771885943
"71","Yes",0.75599128540305,"Germany","Male",0.579710144927536,0.2,0.53306679217845,"4","1","0",0.141824944282179,0.537813573556936,0.537813573556936,"Yes",0.652348072320014,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"72","No",0.919389978213508,"France","Male",0.159420289855072,0.6,0,"1","1","0",0.169727658991434,0.0490869107352573,0.0490869107352573,"No",0.0306491873530532,"No",38.0790395197599,27.2136068034017,28.7543771885943
"73","No",0.579520697167756,"Spain","Female",0.27536231884058,0,0.652086191648569,"1","0","1",0.220980953681077,0.228494711746153,0.228494711746153,"Yes",0.17947720137539,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"74","No",0.464052287581699,"Germany","Female",0.101449275362319,0.5,0.628864253211334,"2","1","1",0.292104045936387,0.211001524291386,0.211001524291386,"Yes",0.216941930090667,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"75","No",0.278867102396514,"France","Male",0.260869565217391,0.9,0,"2","0","1",0.727823607154483,0.0817647349188447,0.0817647349188447,"No",0.0606298415986606,"No",38.0790395197599,27.2136068034017,28.7543771885943
"76","No",0.749455337690632,"France","Female",0.0434782608695652,0.1,0.712313872138285,"2","1","0",0.11189278576104,0.0928863329123892,0.0928863329123892,"No",0.0404995673353328,"No",38.0790395197599,27.2136068034017,28.7543771885943
"77","No",0.594771241830065,"France","Male",0.536231884057971,0.8,0,"2","1","1",0.695816750499673,0.218646702102251,0.218646702102251,"Yes",0.203315009596201,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"78","No",0.625272331154684,"France","Female",0.202898550724638,0.9,0,"1","1","1",0.741066071809858,0.0981713397887397,0.0981713397887397,"No",0.0669089078616896,"No",38.0790395197599,27.2136068034017,28.7543771885943
"79","No",0.797385620915033,"Spain","Male",0.217391304347826,0.5,0.307906768042754,"1","0","1",0.971233002751763,0.081910446573038,0.081910446573038,"No",0.0697826739210949,"No",38.0790395197599,27.2136068034017,28.7543771885943
"80","No",0.0544662309368192,"Germany","Female",0.333333333333333,1,0.487009127889335,"2","1","0",0.491497087971901,0.40040998425399,0.40040998425399,"Yes",0.531433064017737,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"81","No",0.596949891067538,"France","Female",0.231884057971014,0.1,0.385198388716311,"2","0","0",0.857092252310096,0.161794263698209,0.161794263698209,"No",0.131137885402422,"No",38.0790395197599,27.2136068034017,28.7543771885943
"82","Yes",0.840958605664488,"France","Female",0.202898550724638,0.2,0,"1","1","0",0.682298209479005,0.106606911477875,0.106606911477875,"No",0.0710639082519465,"No",38.0790395197599,27.2136068034017,28.7543771885943
"83","No",0.331154684095861,"France","Female",0.260869565217391,0.3,0,"2","0","0",0.130052470010886,0.14648796688198,0.14648796688198,"No",0.115171351530311,"No",38.0790395197599,27.2136068034017,28.7543771885943
"84","No",0.250544662309368,"France","Female",0.231884057971014,0.4,0.359937455083855,"1","1","1",0.796194586583019,0.162890517308977,0.162890517308977,"No",0.154389579434707,"No",38.0790395197599,27.2136068034017,28.7543771885943
"85","No",0.222222222222222,"France","Female",0.405797101449275,0.4,0,"2","1","0",0.00948130546467188,0.245779043928002,0.245779043928002,"Yes",0.247637660730257,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"86","No",0.568627450980392,"Spain","Female",0.826086956521739,1,0,"2","1","1",0.573375607370504,0.62901167894273,0.62901167894273,"Yes",0.331612833731785,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"87","Yes",0.782135076252723,"Spain","Male",0.0579710144927536,0.3,0.484985039144778,"1","1","0",0.643220277536505,0.0500190635212086,0.0500190635212086,"No",0.0393254402465309,"No",38.0790395197599,27.2136068034017,28.7543771885943
"88","No",0.736383442265795,"France","Male",0.173913043478261,0.9,0,"2","1","0",0.759361369010741,0.0513425844824832,0.0513425844824832,"No",0.0331858649223552,"No",38.0790395197599,27.2136068034017,28.7543771885943
"89","Yes",0.555555555555556,"France","Female",0.405797101449275,0.4,0,"3","1","0",0.466243726275859,0.230273338505276,0.230273338505276,"Yes",0.206196661705357,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"90","No",0.531590413943355,"Germany","Female",0.144927536231884,0.3,0.325325991919667,"2","1","1",0.783973769494987,0.211311756358745,0.211311756358745,"Yes",0.242076864667921,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"91","Yes",0.557734204793028,"Spain","Female",0.376811594202899,0.5,0,"3","1","1",0.871051385407306,0.209117120274705,0.209117120274705,"Yes",0.137307703203707,"No",38.0790395197599,27.2136068034017,28.7543771885943
"92","No",0.908496732026144,"France","Male",0.391304347826087,0.7,0.47280770451461,"2","1","0",0.735674656929737,0.163107005207004,0.163107005207004,"No",0.168243966549157,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"93","No",0.289760348583878,"France","Female",0.260869565217391,1,0,"2","1","0",0.548067290426236,0.130225943486443,0.130225943486443,"No",0.0919772457485771,"No",38.0790395197599,27.2136068034017,28.7543771885943
"94","No",0.823529411764706,"France","Male",0.159420289855072,0.8,0,"2","1","1",0.861477421093714,0.0482785615117752,0.0482785615117752,"No",0.0307284068964348,"No",38.0790395197599,27.2136068034017,28.7543771885943
"95","No",0.738562091503268,"Spain","Male",0.347826086956522,0.4,0,"2","0","1",0.429895505020729,0.116506751910135,0.116506751910135,"No",0.0819275368834222,"No",38.0790395197599,27.2136068034017,28.7543771885943
"96","No",0.270152505446623,"Spain","Male",0.246376811594203,1,0.702571908777783,"1","0","1",0.606388910140918,0.121045945624232,0.121045945624232,"No",0.0768224130935891,"No",38.0790395197599,27.2136068034017,28.7543771885943
"97","No",0.832244008714597,"Spain","Male",0.333333333333333,0.9,0.409837476243841,"1","0","1",0.322949191647802,0.126668472699046,0.126668472699046,"No",0.110109877200947,"No",38.0790395197599,27.2136068034017,28.7543771885943
"98","No",0.92156862745098,"Germany","Male",0.159420289855072,0.8,0.386955516480815,"2","1","1",0.986416952818994,0.12357866724899,0.12357866724899,"No",0.208469971000244,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"99","No",0.694989106753813,"Spain","Male",0.0579710144927536,0.8,0,"2","0","0",0.498214879520994,0.0333321360148244,0.0333321360148244,"No",0.0176066893613883,"No",38.0790395197599,27.2136068034017,28.7543771885943
"100","No",0.0479302832244009,"France","Male",0.231884057971014,0.9,0,"2","0","0",0.0326161148389671,0.0768306206784495,0.0768306206784495,"No",0.062507304490815,"No",38.0790395197599,27.2136068034017,28.7543771885943
"101","No",0.596949891067538,"France","Female",0.318840579710145,0.6,0,"1","1","1",0.809259534285524,0.162467762903491,0.162467762903491,"No",0.127449180551904,"No",38.0790395197599,27.2136068034017,28.7543771885943
"102","No",0.505446623093682,"France","Female",0.376811594202899,0.6,0,"2","0","0",0.835834072153891,0.203784194907182,0.203784194907182,"Yes",0.172136104575825,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"103","No",0.75599128540305,"France","Male",0.188405797101449,0.9,0.329512871142223,"1","1","0",0.209815737402922,0.0674356205885559,0.0674356205885559,"No",0.0619611955978762,"No",38.0790395197599,27.2136068034017,28.7543771885943
"104","No",0.298474945533769,"Spain","Male",0.260869565217391,0.7,0,"2","1","0",0.302653803438228,0.086538904422287,0.086538904422287,"No",0.0459706982421019,"No",38.0790395197599,27.2136068034017,28.7543771885943
"105","Yes",0.607843137254902,"Spain","Female",0.681159420289855,0.1,0,"1","1","1",0.888305333159317,0.518214558856103,0.518214558856103,"Yes",0.449030714929708,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"106","Yes",0.503267973856209,"Spain","Female",0.405797101449275,0.4,0.426760004430484,"2","1","1",0.154879841024818,0.29551254784424,0.29551254784424,"Yes",0.242100006973783,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"107","No",0.416122004357298,"Germany","Male",0.202898550724638,0.1,0.354481056432116,"1","1","1",0.0502195459666398,0.180248970867846,0.180248970867846,"Yes",0.234372964080476,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"108","No",0.85838779956427,"Germany","Female",0.260869565217391,0.2,0.397798365065274,"1","0","1",0.184842352444658,0.305429986534957,0.305429986534957,"Yes",0.401203131298769,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"109","No",0.466230936819172,"Spain","Male",0.217391304347826,0.5,0.598222170603212,"1","0","0",0.359290362229593,0.106417813454648,0.106417813454648,"No",0.0763915976901387,"No",38.0790395197599,27.2136068034017,28.7543771885943
"110","Yes",0.191721132897603,"Germany","Male",0.246376811594203,0.9,0.370006363938442,"1","1","0",0.497238886313643,0.19401839147415,0.19401839147415,"Yes",0.289891404771764,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"111","No",0.640522875816993,"Germany","Male",0.173913043478261,0.3,0.360850933540387,"1","0","1",0.315386619422155,0.149738415292275,0.149738415292275,"No",0.184858666239132,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"112","No",0.320261437908497,"Germany","Male",0.304347826086957,0.7,0.430673266584054,"2","1","0",0.13611139863857,0.246244444722974,0.246244444722974,"Yes",0.356196128642298,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"113","No",0.372549019607843,"France","Male",0.347826086956522,0.2,0.399518186846301,"1","0","0",0.433970594191745,0.163227420120222,0.163227420120222,"No",0.172221064391954,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"114","No",0.618736383442266,"Spain","Male",0.260869565217391,0.9,0.423241763219481,"1","0","1",0.114924675306492,0.101226016227254,0.101226016227254,"No",0.077461659493579,"No",38.0790395197599,27.2136068034017,28.7543771885943
"115","Yes",0.718954248366013,"Germany","Male",0.144927536231884,0.9,0.615690378511849,"2","0","1",0.506495170288763,0.138139485740734,0.138139485740734,"No",0.200552525579739,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"116","No",0.516339869281046,"Germany","Female",0.173913043478261,0.9,0.527510153624525,"2","1","1",0.370823163612125,0.236773006309389,0.236773006309389,"Yes",0.316624003130387,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"117","No",0.603485838779956,"Germany","Female",0.27536231884058,0.6,0.669054116753141,"1","1","0",0.578188767027251,0.357464681592499,0.357464681592499,"Yes",0.422236549550959,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"118","No",0.250544662309368,"France","Female",0.333333333333333,0.1,0,"2","1","0",0.158788764326993,0.200596876863799,0.200596876863799,"Yes",0.201500385829364,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"119","Yes",0.289760348583878,"Germany","Female",0.188405797101449,0.8,0.429730772362596,"1","1","0",0.998664422452344,0.250389994032619,0.250389994032619,"Yes",0.317282609646641,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"120","No",0.671023965141612,"Germany","Male",0.231884057971014,0.4,0.738043920541603,"2","1","0",0.604172198444951,0.223226999957916,0.223226999957916,"Yes",0.231317631147617,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
"121","No",0.952069716775599,"France","Male",0.231884057971014,0.8,0.515880132845969,"2","0","0",0.190619154129219,0.0882723927911177,0.0882723927911177,"No",0.0875687866573344,"No",38.0790395197599,27.2136068034017,28.7543771885943
"122","No",0.616557734204793,"Spain","Male",0.304347826086957,0.6,0.479052750062784,"1","0","0",0.500644661565179,0.131177717441015,0.131177717441015,"No",0.100980919694678,"No",38.0790395197599,27.2136068034017,28.7543771885943
"123","No",0.577342047930283,"France","Female",0.304347826086957,0.6,0,"2","1","0",0.705358861771299,0.154677759595103,0.154677759595103,"No",0.118629987955442,"No",38.0790395197599,27.2136068034017,28.7543771885943
"124","No",0.638344226579521,"Germany","Female",0.434782608695652,1,0.503728107296472,"1","1","1",0.990683510275231,0.475559060279129,0.475559060279129,"Yes",0.641303523496841,"Yes",38.0790395197599,27.2136068034017,28.7543771885943
